Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LATGEOPOINT,LONGEOPOINT,Latitude,Longitude,Altitude
SSER,RS0018,Erechim,ERECHIM,Rio Grande do Sul,Erechim,Rio Grande do Sul,-27.66,-52.276111,"27°39'36.0""S","052°16'34.0""W","761,0"
SSJI,MS0019,Jardim,JARDIM,Mato Grosso do Sul,Jardim,Mato Grosso do Sul,-21.492778,-56.152778,"21°29'34.0""S","056°09'10.0""W","321,0"
SWIQ,GO0019,Minaçu,MINAÇU,Goiás,Minaçu,Goiás,-13.550556,-48.200556,"13°33'02.0""S","048°12'02.0""W","427,0"
SNGG,PI0007,Bom Jesus do Gurguéia,BOM JESUS,Piauí,Bom Jesus,Piauí,-9.0594444,-44.369167,"09°03'34.0""S","044°22'09.0""W","338,0"
SWTO,TO0008,Paraíso do Tocantins,PARAÍSO DO TOCANTINS,Tocantins,Paraíso do Tocantins,Tocantins,-10.173889,-48.932778,"10°10'26.0""S","048°55'58.0""W","353,0"
SSEE,RS0054,Regional do Vale do Taquari,ESTRELA,Rio Grande do Sul,Estrela,Rio Grande do Sul,-29.453333,-51.934167,"29°27'12.0""S","051°56'03.0""W","32,0"
SNSM,PA0029,Salinópolis,SALINÓPOLIS,Pará,Salinópolis,Pará,-0.69694444,-47.337778,"00°41'49.0""S","047°20'16.0""W","27,0"
SSRS,MA0008,Barreirinhas,BARREIRINHAS,Maranhão,Barreirinhas,Maranhão,-2.7566667,-42.804444,"02°45'24.0""S","042°48'16.0""W","4,0"
SSJK,RS0028,Júlio de Castilhos,TUPANCIRETÃ,Rio Grande do Sul,Júlio de Castilhos,Rio Grande do Sul,-29.153056,-53.743333,"29°09'11.0""S","053°44'36.0""W","498,0"
SICB,PB0007,Pedro Simões Pimenta,CUITÉ,Paraíba,Cuité,Paraíba,-6.4875,-36.14,"06°29'15.0""S","036°08'24.0""W","652,0"
SNRM,BA0022,Remanso,REMANSO,Bahia,Remanso,Bahia,-9.58,-42.115833,"09°34'48.0""S","042°06'57.0""W","406,0"
SDMJ,SP0022,Mogi Mirim,MOGI MIRIM,São Paulo,Moji Mirim,São Paulo,-22.410833,-46.905556,"22°24'39.0""S","046°54'20.0""W","695,0"
SNKF,MG0071,Das Bandeirinhas,CONSELHEIRO LAFAIETE,Minas Gerais,Conselheiro Lafaiete,Minas Gerais,-20.738611,-43.798056,"20°44'19.0""S","043°47'53.0""W","1057,0"
SNSI,MG0076,Santa Maria do Suaçuí,JOSÉ RAYDAN,Minas Gerais,Santa Maria do Suaçuí,Minas Gerais,-18.198611,-42.466111,"18°11'55.0""S","042°27'58.0""W","480,0"
SDPD,SP0072,Pindamonhangaba,PINDAMONHANGABA,São Paulo,Pindamonhangaba,São Paulo,-22.943889,-45.431944,"22°56'38.0""S","045°25'55.0""W","574,0"
SDEP,SP0052,Geraldo Moacir Bordon,PRESIDENTE EPITÁCIO,São Paulo,Presidente Epitácio,São Paulo,-21.775,-52.143611,"21°46'30.0""S","052°08'37.0""W","297,0"
SBEK,PA0011,Jacareacanga,JACAREACANGA,Pará,Jacareacanga,Pará,-6.2352778,-57.775833,"06°14'07.0""S","057°46'33.0""W","90,0"
SSVL,PR0007,Telêmaco Borba,TELÊMACO BORBA,Paraná,Telêmaco Borba,Paraná,-24.316389,-50.652222,"24°18'59.0""S","050°39'08.0""W","796,0"
SSVN,RS0030,Veranópolis,VERANÓPOLIS,Rio Grande do Sul,Veranópolis,Rio Grande do Sul,-28.935556,-51.567778,"28°56'08.0""S","051°34'04.0""W","676,0"
SSNB,MS0015,Ariosto da Riva,NAVIRAÍ,Mato Grosso do Sul,Naviraí,Mato Grosso do Sul,-23.041389,-54.185,"23°02'29.0""S","054°11'06.0""W","405,0"
SNPQ,PE0010,Pesqueira,PESQUEIRA,Pernambuco,Pesqueira,Pernambuco,-8.3741667,-36.637778,"08°22'27.0""S","036°38'16.0""W","630,0"
SBTC,BA0067,Hotel Transamérica,UNA,Bahia,Una,Bahia,-15.353333,-38.997222,"15°21'12.0""S","038°59'50.0""W","7,0"
SBNV,GO0002,Aeródromo Nacional de Aviação,GOIÂNIA,Goiás,Goiânia,Goiás,-16.625556,-49.349444,"16°37'32.0""S","049°20'58.0""W","831,0"
SDTB,SP0069,Atibaia,ATIBAIA,São Paulo,Atibaia,São Paulo,-23.128333,-46.574722,"23°07'42.0""S","046°34'29.0""W","797,0"
SBSM,RS0003,Santa Maria,SANTA MARIA,Rio Grande do Sul,Santa Maria,Rio Grande do Sul,-29.710833,-53.692222,"29°42'39.0""S","053°41'32.0""W","88,0"
SDAE,SP0053,São Pedro,SÃO PEDRO,São Paulo,São Pedro,São Paulo,-22.583611,-47.896111,"22°35'01.0""S","047°53'46.0""W","566,0"
SSNP,RS0041,Nova Prata,NOVA PRATA,Rio Grande do Sul,Nova Prata,Rio Grande do Sul,-28.8025,-51.604167,"28°48'09.0""S","051°36'15.0""W","690,0"
SWPG,MT0010,Porto dos Gaúchos,NOVO HORIZONTE DO NORTE,Mato Grosso,Porto dos Gaúchos,Mato Grosso,-11.516944,-57.333889,"11°31'01.0""S","057°20'02.0""W","400,0"
SNIU,BA0030,Ipiaú,IPIAÚ,Bahia,Ipiaú,Bahia,-14.173333,-39.684167,"14°10'24.0""S","039°41'03.0""W","132,0"
SBCH,SC0003,Serafin Enoss Bertaso,CHAPECÓ,Santa Catarina,Chapecó,Santa Catarina,-27.133889,-52.661944,"27°08'02.0""S","052°39'43.0""W","654,0"
SDAG,RJ0010,Angra Dos Reis,ANGRA DOS REIS,Rio de Janeiro,Angra dos Reis,Rio de Janeiro,-22.975278,-44.307222,"22°58'31.0""S","044°18'26.0""W","3,0"
SNMA,PA0019,Monte Alegre,MONTE ALEGRE,Pará,Monte Alegre,Pará,-1.9966667,-54.071389,"01°59'48.0""S","054°04'17.0""W","99,0"
