Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LATGEOPOINT,LONGEOPOINT,Latitude,Longitude,Altitude
SSMR,PR0026,Manoel Ribas,MANOEL RIBAS,Paraná,Manoel Ribas,Paraná,-24.529444,-51.651667,"24°31'46.0""S","051°39'06.0""W","886,0"
SNBX,BA0028,Barra,BARRA,Bahia,Barra,Bahia,-11.081111,-43.1475,"11°04'52.0""S","043°08'51.0""W","389,0"
SNCA,MG0031,Campo Belo,CAMPO BELO,Minas Gerais,Campo Belo,Minas Gerais,-20.8925,-45.335556,"20°53'33.0""S","045°20'08.0""W","970,0"
SSKK,RS0052,Capão da Canoa,CAPÃO DA CANOA,Rio Grande do Sul,Capão da Canoa,Rio Grande do Sul,-29.763611,-50.036944,"29°45'49.0""S","050°02'13.0""W","10,0"
SSQC,PR0029,Aguinaldo Pereira Lima,SIQUEIRA CAMPOS,Paraná,Siqueira Campos,Paraná,-23.674444,-49.818889,"23°40'28.0""S","049°49'08.0""W","705,0"
SWFX,MT0022,São Félix do Araguaia,SÃO FÉLIX DO ARAGUAIA,Mato Grosso,São Félix do Araguaia,Mato Grosso,-11.631944,-50.688333,"11°37'55.0""S","050°41'18.0""W","198,0"
SDKK,SP0058,Mococa,MOCOCA,São Paulo,Mococa,São Paulo,-21.487222,-47.033889,"21°29'14.0""S","047°02'02.0""W","651,0"
SNPX,MG0028,Pirapora,PIRAPORA,Minas Gerais,Pirapora,Minas Gerais,-17.313889,-44.858611,"17°18'50.0""S","044°51'31.0""W","551,0"
SWPK,MT0021,Poconé,POCONÉ,Mato Grosso,Poconé,Mato Grosso,-16.271667,-56.651111,"16°16'18.0""S","056°39'04.0""W","187,0"
SDCG,AM0016,Senadora Eunice Michiles,SÃO PAULO DE OLIVENÇA,Amazonas,São Paulo de Olivença,Amazonas,-3.4691667,-68.921111,"03°28'09.0""S","068°55'16.0""W","102,0"
SNZR,MG0026,Pedro Rabelo de Souza,PARACATU,Minas Gerais,Paracatu,Minas Gerais,-17.243056,-46.881389,"17°14'35.0""S","046°52'53.0""W","730,0"
SDET,SP0067,Tietê,TIETÊ,São Paulo,Tietê,São Paulo,-23.104722,-47.724444,"23°06'17.0""S","047°43'28.0""W","501,0"
SNBM,MG0051,Cristiano Ferreira Varella,MURIAÉ,Minas Gerais,Muriaé,Minas Gerais,-21.128889,-42.366944,"21°07'44.0""S","042°22'01.0""W","270,0"
SSCT,PR0025,Engenheiro Gastão de Mesquita Filho,CIANORTE,Paraná,Cianorte,Paraná,-23.691667,-52.642222,"23°41'30.0""S","052°38'32.0""W","539,0"
SNEE,RS0004,Vacaria Novo,VACARIA,Rio Grande do Sul,Vacaria,Rio Grande do Sul,-28.431944,-51.022778,"28°25'55.0""S","051°01'22.0""W","914,0"
SNQD,PB0006,Sousa,SOUSA,Paraíba,Sousa,Paraíba,-6.7855556,-38.233889,"06°47'08.0""S","038°14'02.0""W","272,0"
SSST,RS0015,Santiago,SANTIAGO,Rio Grande do Sul,Santiago,Rio Grande do Sul,-29.215,-54.842222,"29°12'54.0""S","054°50'32.0""W","445,0"
SSKS,RS0039,Brigadeiro Nero Moura,CACHOEIRA DO SUL,Rio Grande do Sul,Cachoeira do Sul,Rio Grande do Sul,-30.002222,-52.940278,"30°00'08.0""S","052°56'25.0""W","77,0"
SSEZ,RS0050,Espumoso,ESPUMOSO,Rio Grande do Sul,Espumoso,Rio Grande do Sul,-28.738056,-52.855556,"28°44'17.0""S","052°51'20.0""W","390,0"
SBUG,RS0012,Rubem Berta,URUGUAIANA,Rio Grande do Sul,Uruguaiana,Rio Grande do Sul,-29.783333,-57.036944,"29°47'00.0""S","057°02'13.0""W","78,0"
SDBB,SP0018,Bebedouro,BEBEDOURO,São Paulo,Bebedouro,São Paulo,-20.900278,-48.473611,"20°54'01.0""S","048°28'25.0""W","592,0"
SWTY,TO0009,Taguatinga,TAGUATINGA,Tocantins,Taguatinga,Tocantins,-12.433889,-46.400556,"12°26'02.0""S","046°24'02.0""W","597,0"
SWUD,MG0069,Deputado Oswaldo Tolentino,CLÁUDIO,Minas Gerais,Cláudio,Minas Gerais,-20.445833,-44.812778,"20°26'45.0""S","044°48'46.0""W","820,0"
SWUA,GO0011,São Miguel do Araguaia,SÃO MIGUEL DO ARAGUAIA,Goiás,São Miguel do Araguaia,Goiás,-13.333889,-50.205833,"13°20'02.0""S","050°12'21.0""W","384,0"
SSRZ,RS0024,Dário Brasil Capoano de Oliveira,ROSÁRIO DO SUL,Rio Grande do Sul,Rosário do Sul,Rio Grande do Sul,-30.2775,-54.925278,"30°16'39.0""S","054°55'31.0""W","102,0"
SJTS,PA0028,Terra Santa,TERRA SANTA,Pará,Terra Santa,Pará,-2.0727778,-56.488889,"02°04'22.0""S","056°29'20.0""W","25,0"
SSHZ,RS0037,Walter Bündchen,HORIZONTINA,Rio Grande do Sul,Horizontina,Rio Grande do Sul,-27.638333,-54.338889,"27°38'18.0""S","054°20'20.0""W","310,0"
SDMO,SP0068,Monte Alto,MONTE ALTO,São Paulo,Monte Alto,São Paulo,-21.258056,-48.524167,"21°15'29.0""S","048°31'27.0""W","750,0"
